Country,Order,Item,Price (as printed),FY26,FY27,FY28,FY29,FY30,Note,Source
Uganda,3,National supply chain end-to-end traceability including GS1,,,,,,,,Sec 2.6.2 p.17
Uganda,4,"Acceleration of community health (HIV, malaria, TB & other priority diseases)",,,,,,,,Sec 2.6.2 p.17
Uganda,5,Reduction of maternal and newborn mortality,,,,,,,,Sec 2.6.2 p.17
Uganda,6,Global health security & laboratory systems strengthening,,,,,,,,Sec 2.6.2 p.17
Uganda,7,Integrated service delivery,,,,,,,,Sec 2.6.2 p.17
Liberia,1,Service delivery not covered in previous sections (paediatric/neonatal equipment; internet & electricity),,,,,,,"2026-only narrative allocations printed (service delivery $2.20M, workforce $2.35M, supply chain $1.24M, laboratory $2.19M, surveys $3.31M, policy $1.63M, equipment $3.81M, internet/electricity $1.10M) sum to ~$17.8M vs the $7.9M 2026 lump - overlapping categories, not a clean split",Sec 2.6.2 pp.11-13
Liberia,2,Health workforce training enhancement,,,,,,,,Sec 2.6.2 pp.11-13
Liberia,3,Laboratory (reference-lab accreditation; regional/district equipping),,,,,,,,Sec 2.6.2 pp.11-13
Liberia,4,"Surveys (DHS update, HIV prevalence/incidence, programme evaluations)",,,,,,,,Sec 2.6.2 pp.11-13
Liberia,5,"Policy & standards development (CSSD, GS1, HAI surveillance in DHIS-2)",,,,,,,,Sec 2.6.2 pp.11-13
